,restaurant_city,hour,dayofweek,avg_orders
51,Kazan,7,2,1.7384615384615385
52,Kazan,7,3,2.1363636363636362
53,Kazan,7,4,2.391304347826087
54,Kazan,7,5,1.9833333333333334
55,Kazan,7,6,1.8636363636363635
56,Kazan,8,0,2.189655172413793
57,Kazan,8,1,2.235294117647059
58,Kazan,8,2,2.1639344262295084
59,Kazan,8,3,2.183333333333333
60,Kazan,8,4,2.2285714285714286
61,Kazan,8,5,1.9857142857142858
62,Kazan,8,6,2.169491525423729
63,Kazan,9,0,2.1285714285714286
64,Kazan,9,1,1.9180327868852458
65,Kazan,9,2,2.098360655737705
66,Kazan,9,3,1.859375
67,Kazan,9,4,1.8636363636363635
68,Kazan,9,5,2.1944444444444446
69,Kazan,9,6,2.015625
70,Kazan,10,0,1.9701492537313432
71,Kazan,10,1,2.234375
72,Kazan,10,2,2.0153846153846153
73,Kazan,10,3,2.126984126984127
74,Kazan,10,4,2.1449275362318843
75,Kazan,10,5,1.791044776119403
76,Kazan,10,6,2.0
77,Kazan,11,0,2.0163934426229506
78,Kazan,11,1,1.9310344827586208
79,Kazan,11,2,2.3181818181818183
80,Kazan,11,3,2.0806451612903225
81,Kazan,11,4,2.1875
82,Kazan,11,5,1.9393939393939394
83,Kazan,11,6,1.953125
84,Kazan,12,0,2.5
85,Kazan,12,1,2.0793650793650795
86,Kazan,12,2,2.140625
87,Kazan,12,3,1.921875
88,Kazan,12,4,2.0476190476190474
89,Kazan,12,5,2.1875
90,Kazan,12,6,2.0491803278688523
91,Kazan,13,0,2.3728813559322033
92,Kazan,13,1,1.9523809523809523
93,Kazan,13,2,2.0153846153846153
94,Kazan,13,3,2.057142857142857
95,Kazan,13,4,1.878787878787879
96,Kazan,13,5,2.033333333333333
97,Kazan,13,6,2.125
98,Kazan,14,0,2.0307692307692307
99,Kazan,14,1,2.123076923076923
100,Kazan,14,2,2.225806451612903
101,Kazan,14,3,2.1470588235294117
102,Kazan,14,4,2.014705882352941
103,Kazan,14,5,2.1176470588235294
104,Kazan,14,6,2.0
105,Kazan,15,0,2.1666666666666665
106,Kazan,15,1,2.1333333333333333
107,Kazan,15,2,1.8870967741935485
108,Kazan,15,3,2.0588235294117645
109,Kazan,15,4,1.96875
110,Kazan,15,5,1.876923076923077
111,Kazan,15,6,2.0
112,Kazan,16,0,2.1578947368421053
113,Kazan,16,1,2.3174603174603177
114,Kazan,16,2,2.046875
115,Kazan,16,3,1.9206349206349207
116,Kazan,16,4,2.125
117,Kazan,16,5,2.246153846153846
118,Kazan,16,6,1.9428571428571428
119,Kazan,17,0,2.0161290322580645
120,Kazan,17,1,2.014925373134328
121,Kazan,17,2,2.152542372881356
122,Kazan,17,3,2.0163934426229506
123,Kazan,17,4,1.967741935483871
124,Kazan,17,5,2.1911764705882355
125,Kazan,17,6,2.1
126,Kazan,18,0,2.1940298507462686
127,Kazan,18,1,1.9661016949152543
128,Kazan,18,2,2.1538461538461537
129,Kazan,18,3,2.09375
130,Kazan,18,4,2.0
131,Kazan,18,5,2.2096774193548385
132,Kazan,18,6,2.142857142857143
133,Kazan,19,0,2.1666666666666665
134,Kazan,19,1,2.081967213114754
135,Kazan,19,2,2.046153846153846
136,Kazan,19,3,2.096774193548387
137,Kazan,19,4,1.9855072463768115
138,Kazan,19,5,2.0153846153846153
139,Kazan,19,6,1.9508196721311475
140,Kazan,20,0,2.1
141,Kazan,20,1,2.0757575757575757
142,Kazan,20,2,2.2222222222222223
143,Kazan,20,3,1.876923076923077
144,Kazan,20,4,2.098360655737705
145,Kazan,20,5,2.0142857142857142
146,Kazan,20,6,2.0597014925373136
147,Kazan,21,0,1.9838709677419355
148,Kazan,21,1,2.238095238095238
149,Kazan,21,2,2.015151515151515
150,Kazan,21,3,2.238095238095238
151,Kazan,21,4,2.4925373134328357
152,Kazan,21,5,2.1538461538461537
153,Kazan,21,6,2.1311475409836067
154,Kazan,22,0,1.9696969696969697
155,Kazan,22,1,2.2459016393442623
156,Kazan,22,2,1.7575757575757576
157,Kazan,22,3,2.1129032258064515
158,Kazan,22,4,2.3015873015873014
159,Kazan,22,5,2.1206896551724137
160,Kazan,22,6,2.264705882352941
161,Kazan,23,0,1.8870967741935485
162,Kazan,23,1,1.791044776119403
163,Kazan,23,2,2.1129032258064515
164,Kazan,23,3,2.032258064516129
165,Kazan,23,4,2.0597014925373136
166,Kazan,23,5,2.032258064516129
167,Kazan,23,6,2.121212121212121
168,Moscow,0,0,3.727272727272727
169,Moscow,0,1,3.779220779220779
170,Moscow,0,2,3.871794871794872
171,Moscow,0,3,4.571428571428571
172,Moscow,0,4,3.5064935064935066
173,Moscow,0,5,3.9358974358974357
174,Moscow,0,6,3.727272727272727
175,Moscow,1,0,3.8933333333333335
176,Moscow,1,1,3.3636363636363638
177,Moscow,1,2,3.3766233766233764
178,Moscow,1,3,3.710526315789474
179,Moscow,1,4,3.3421052631578947
180,Moscow,1,5,3.7662337662337664
181,Moscow,1,6,3.8181818181818183
182,Moscow,2,0,3.7837837837837838
183,Moscow,2,1,3.727272727272727
184,Moscow,2,2,3.8666666666666667
185,Moscow,2,3,3.7466666666666666
186,Moscow,2,4,3.8552631578947367
187,Moscow,2,5,3.779220779220779
188,Moscow,2,6,4.184210526315789
189,Moscow,3,0,3.948717948717949
190,Moscow,3,1,3.64
191,Moscow,3,2,3.8552631578947367
192,Moscow,3,3,3.779220779220779
193,Moscow,3,4,3.8666666666666667
194,Moscow,3,5,4.04
195,Moscow,3,6,3.710526315789474
196,Moscow,4,0,4.116883116883117
197,Moscow,4,1,3.8
198,Moscow,4,2,3.935064935064935
199,Moscow,4,3,3.736842105263158
200,Moscow,4,4,4.025974025974026
201,Moscow,4,5,3.6493506493506493
202,Moscow,4,6,3.68
203,Moscow,5,0,4.116883116883117
204,Moscow,5,1,3.6842105263157894
205,Moscow,5,2,3.68
206,Moscow,5,3,4.246753246753247
207,Moscow,5,4,3.75
208,Moscow,5,5,3.792207792207792
209,Moscow,5,6,3.7866666666666666
210,Moscow,6,0,3.8133333333333335
211,Moscow,6,1,3.6973684210526314
212,Moscow,6,2,3.769230769230769
213,Moscow,6,3,3.526315789473684
214,Moscow,6,4,3.831168831168831
215,Moscow,6,5,3.76
216,Moscow,6,6,3.736842105263158
217,Moscow,7,0,3.9066666666666667
218,Moscow,7,1,3.8846153846153846
219,Moscow,7,2,3.987012987012987
220,Moscow,7,3,3.5
221,Moscow,7,4,3.782051282051282
222,Moscow,7,5,4.0131578947368425
223,Moscow,7,6,4.065789473684211
224,Moscow,8,0,3.6315789473684212
225,Moscow,8,1,3.8533333333333335
226,Moscow,8,2,3.8493150684931505
227,Moscow,8,3,3.9210526315789473
228,Moscow,8,4,3.8157894736842106
229,Moscow,8,5,3.527027027027027
230,Moscow,8,6,3.8289473684210527
231,Moscow,9,0,3.776315789473684
232,Moscow,9,1,3.9342105263157894
233,Moscow,9,2,3.6623376623376624
234,Moscow,9,3,3.871794871794872
235,Moscow,9,4,3.858974358974359
236,Moscow,9,5,3.6973684210526314
237,Moscow,9,6,3.8133333333333335
238,Moscow,10,0,3.4025974025974026
239,Moscow,10,1,3.675324675324675
240,Moscow,10,2,3.5584415584415585
241,Moscow,10,3,3.782051282051282
242,Moscow,10,4,3.5714285714285716
243,Moscow,10,5,4.175675675675675
244,Moscow,10,6,3.5526315789473686
245,Moscow,11,0,3.526315789473684
246,Moscow,11,1,3.831168831168831
247,Moscow,11,2,3.688311688311688
248,Moscow,11,3,3.9864864864864864
249,Moscow,11,4,3.9743589743589745
250,Moscow,11,5,3.486842105263158
251,Moscow,11,6,3.4805194805194803
252,Moscow,12,0,3.551282051282051
253,Moscow,12,1,4.012987012987013
254,Moscow,12,2,3.789473684210526
255,Moscow,12,3,3.6842105263157894
256,Moscow,12,4,3.74025974025974
257,Moscow,12,5,4.012987012987013
258,Moscow,12,6,3.789473684210526
259,Moscow,13,0,3.896103896103896
260,Moscow,13,1,4.171052631578948
261,Moscow,13,2,3.871794871794872
262,Moscow,13,3,3.8666666666666667
263,Moscow,13,4,3.935064935064935
264,Moscow,13,5,3.9743589743589745
265,Moscow,13,6,3.935064935064935
266,Moscow,14,0,4.142857142857143
267,Moscow,14,1,3.6
268,Moscow,14,2,3.4415584415584415
269,Moscow,14,3,3.7222222222222223
270,Moscow,14,4,3.7260273972602738
271,Moscow,14,5,3.6363636363636362
272,Moscow,14,6,3.971830985915493
273,Moscow,15,0,3.5789473684210527
274,Moscow,15,1,3.9210526315789473
275,Moscow,15,2,4.094594594594595
276,Moscow,15,3,4.078947368421052
277,Moscow,15,4,3.581081081081081
278,Moscow,15,5,3.986666666666667
279,Moscow,15,6,3.8157894736842106
280,Moscow,16,0,3.8076923076923075
281,Moscow,16,1,3.8157894736842106
282,Moscow,16,2,3.858974358974359
283,Moscow,16,3,3.6363636363636362
284,Moscow,16,4,3.782051282051282
285,Moscow,16,5,4.0394736842105265
286,Moscow,16,6,3.32
287,Moscow,17,0,3.810810810810811
288,Moscow,17,1,3.4266666666666667
289,Moscow,17,2,4.012820512820513
290,Moscow,17,3,4.012820512820513
291,Moscow,17,4,3.9473684210526314
292,Moscow,17,5,3.92
293,Moscow,17,6,4.0
294,Moscow,18,0,3.8026315789473686
295,Moscow,18,1,3.4415584415584415
296,Moscow,18,2,3.6623376623376624
297,Moscow,18,3,3.554054054054054
298,Moscow,18,4,3.8026315789473686
299,Moscow,18,5,3.8701298701298703
300,Moscow,18,6,3.547945205479452
301,Moscow,19,0,3.453333333333333
302,Moscow,19,1,3.8701298701298703
303,Moscow,19,2,4.026315789473684
304,Moscow,19,3,3.5657894736842106
305,Moscow,19,4,4.026315789473684
306,Moscow,19,5,3.6486486486486487
307,Moscow,19,6,3.96
308,Moscow,20,0,3.779220779220779
309,Moscow,20,1,3.730769230769231
310,Moscow,20,2,3.883116883116883
311,Moscow,20,3,3.688311688311688
312,Moscow,20,4,3.923076923076923
313,Moscow,20,5,3.8378378378378377
314,Moscow,20,6,4.0131578947368425
315,Moscow,21,0,3.8026315789473686
316,Moscow,21,1,3.5789473684210527
317,Moscow,21,2,3.6153846153846154
318,Moscow,21,3,3.810810810810811
319,Moscow,21,4,3.3466666666666667
320,Moscow,21,5,3.9864864864864864
321,Moscow,21,6,3.5714285714285716
322,Moscow,22,0,3.4473684210526314
323,Moscow,22,1,3.8684210526315788
324,Moscow,22,2,4.0
325,Moscow,22,3,3.5789473684210527
326,Moscow,22,4,3.9466666666666668
327,Moscow,22,5,4.0
328,Moscow,22,6,3.5921052631578947
329,Moscow,23,0,3.9066666666666667
330,Moscow,23,1,3.91025641025641
331,Moscow,23,2,3.776315789473684
332,Moscow,23,3,3.3461538461538463
333,Moscow,23,4,3.896103896103896
334,Moscow,23,5,4.076923076923077
335,Moscow,23,6,3.5657894736842106
336,SPB,0,0,2.536231884057971
337,SPB,0,1,2.4857142857142858
338,SPB,0,2,2.6338028169014085
339,SPB,0,3,2.3970588235294117
340,SPB,0,4,2.2903225806451615
341,SPB,0,5,2.4571428571428573
342,SPB,0,6,2.414285714285714
343,SPB,1,0,2.4242424242424243
344,SPB,1,1,2.3055555555555554
345,SPB,1,2,2.4153846153846152
346,SPB,1,3,2.208955223880597
347,SPB,1,4,2.338235294117647
348,SPB,1,5,2.4761904761904763
349,SPB,1,6,2.2535211267605635
350,SPB,2,0,2.418918918918919
351,SPB,2,1,2.5285714285714285
352,SPB,2,2,2.272727272727273
353,SPB,2,3,2.4027777777777777
354,SPB,2,4,2.380281690140845
355,SPB,2,5,2.1323529411764706
356,SPB,2,6,2.6056338028169015
357,SPB,3,0,2.5652173913043477
358,SPB,3,1,2.242857142857143
359,SPB,3,2,2.411764705882353
360,SPB,3,3,2.5714285714285716
361,SPB,3,4,2.476923076923077
362,SPB,3,5,2.4864864864864864
363,SPB,3,6,2.4029850746268657
364,SPB,4,0,2.6
365,SPB,4,1,2.292307692307692
366,SPB,4,2,2.357142857142857
367,SPB,4,3,2.263888888888889
368,SPB,4,4,2.5
369,SPB,4,5,2.7
370,SPB,4,6,2.303030303030303
371,SPB,5,0,2.5074626865671643
372,SPB,5,1,2.464788732394366
373,SPB,5,2,2.417910447761194
374,SPB,5,3,2.4927536231884058
375,SPB,5,4,2.2318840579710146
376,SPB,5,5,2.7
377,SPB,5,6,2.5
378,SPB,6,0,2.426470588235294
379,SPB,6,1,2.272727272727273
380,SPB,6,2,2.579710144927536
381,SPB,6,3,2.361111111111111
382,SPB,6,4,2.0434782608695654
383,SPB,6,5,2.449275362318841
384,SPB,6,6,2.1641791044776117
385,SPB,7,0,2.588235294117647
386,SPB,7,1,2.6285714285714286
387,SPB,7,2,2.5757575757575757
388,SPB,7,3,2.3333333333333335
389,SPB,7,4,2.3285714285714287
390,SPB,7,5,2.6027397260273974
391,SPB,7,6,2.3823529411764706
392,SPB,8,0,2.3823529411764706
393,SPB,8,1,2.2203389830508473
394,SPB,8,2,2.4242424242424243
395,SPB,8,3,2.3676470588235294
396,SPB,8,4,2.4328358208955225
397,SPB,8,5,2.4285714285714284
398,SPB,8,6,2.323529411764706
399,SPB,9,0,2.417910447761194
400,SPB,9,1,2.8142857142857145
401,SPB,9,2,2.5294117647058822
402,SPB,9,3,2.1911764705882355
403,SPB,9,4,2.452054794520548
404,SPB,9,5,2.323943661971831
405,SPB,9,6,2.375
406,SPB,10,0,2.5277777777777777
407,SPB,10,1,2.564516129032258
408,SPB,10,2,2.449275362318841
409,SPB,10,3,2.1449275362318843
410,SPB,10,4,2.323943661971831
411,SPB,10,5,2.3661971830985915
412,SPB,10,6,2.2465753424657535
413,SPB,11,0,2.4927536231884058
414,SPB,11,1,2.53125
415,SPB,11,2,2.4794520547945207
416,SPB,11,3,2.619047619047619
417,SPB,11,4,2.514705882352941
418,SPB,11,5,2.4507042253521125
419,SPB,11,6,2.2
420,SPB,12,0,2.5
421,SPB,12,1,2.5074626865671643
422,SPB,12,2,2.410958904109589
423,SPB,12,3,2.208955223880597
424,SPB,12,4,2.3768115942028984
425,SPB,12,5,2.3134328358208953
426,SPB,12,6,2.2535211267605635
427,SPB,13,0,2.3857142857142857
428,SPB,13,1,2.5
429,SPB,13,2,2.426470588235294
430,SPB,13,3,2.4571428571428573
431,SPB,13,4,2.347826086956522
432,SPB,13,5,2.380281690140845
433,SPB,13,6,2.5303030303030303
434,SPB,14,0,2.5757575757575757
435,SPB,14,1,2.608695652173913
436,SPB,14,2,2.5652173913043477
437,SPB,14,3,2.5945945945945947
438,SPB,14,4,2.2388059701492535
439,SPB,14,5,2.391304347826087
440,SPB,14,6,2.5217391304347827
441,SPB,15,0,2.6818181818181817
442,SPB,15,1,2.426470588235294
443,SPB,15,2,2.3692307692307693
444,SPB,15,3,2.6865671641791047
445,SPB,15,4,2.391304347826087
446,SPB,15,5,2.373134328358209
447,SPB,15,6,2.4714285714285715
448,SPB,16,0,2.4925373134328357
449,SPB,16,1,2.411764705882353
450,SPB,16,2,2.1470588235294117
451,SPB,16,3,2.588235294117647
452,SPB,16,4,2.4927536231884058
453,SPB,16,5,2.4393939393939394
454,SPB,16,6,2.485294117647059
455,SPB,17,0,2.5625
456,SPB,17,1,2.1076923076923078
457,SPB,17,2,2.7222222222222223
458,SPB,17,3,2.5211267605633805
459,SPB,17,4,2.135135135135135
460,SPB,17,5,2.2222222222222223
461,SPB,17,6,2.1538461538461537
462,SPB,18,0,2.2535211267605635
463,SPB,18,1,2.4444444444444446
464,SPB,18,2,2.183098591549296
465,SPB,18,3,2.5753424657534247
466,SPB,18,4,2.356164383561644
467,SPB,18,5,2.4027777777777777
468,SPB,18,6,2.5675675675675675
469,SPB,19,0,2.585714285714286
470,SPB,19,1,2.4225352112676055
471,SPB,19,2,2.1343283582089554
472,SPB,19,3,2.2941176470588234
473,SPB,19,4,2.315068493150685
474,SPB,19,5,2.484375
475,SPB,19,6,2.4029850746268657
476,SPB,20,0,2.289855072463768
477,SPB,20,1,2.578125
478,SPB,20,2,2.445945945945946
479,SPB,20,3,2.1857142857142855
480,SPB,20,4,2.3857142857142857
481,SPB,20,5,2.4461538461538463
482,SPB,20,6,2.5076923076923077
483,SPB,21,0,2.5652173913043477
484,SPB,21,1,2.3676470588235294
485,SPB,21,2,2.292307692307692
486,SPB,21,3,2.2916666666666665
487,SPB,21,4,2.5217391304347827
488,SPB,21,5,2.723076923076923
489,SPB,21,6,2.5
490,SPB,22,0,2.4057971014492754
491,SPB,22,1,2.227272727272727
492,SPB,22,2,2.537313432835821
493,SPB,22,3,2.4558823529411766
494,SPB,22,4,2.5
495,SPB,22,5,2.361111111111111
496,SPB,22,6,2.5441176470588234
497,SPB,23,0,2.276923076923077
498,SPB,23,1,2.342857142857143
499,SPB,23,2,2.353846153846154
500,SPB,23,3,2.3424657534246576
501,SPB,23,4,2.515151515151515
502,SPB,23,5,2.5
503,SPB,23,6,2.375
