restaurant_city,hour,dayofweek,traffic_level_mode
Moscow,6,4,4.0
Moscow,6,5,3.0
Moscow,6,6,3.0
Moscow,7,0,4.0
Moscow,7,1,4.0
Moscow,7,2,4.0
Moscow,7,3,4.0
Moscow,7,4,4.0
Moscow,7,5,3.0
Moscow,7,6,3.0
Moscow,8,0,4.0
Moscow,8,1,4.0
Moscow,8,2,4.0
Moscow,8,3,4.0
Moscow,8,4,4.0
Moscow,8,5,3.0
Moscow,8,6,3.0
Moscow,9,0,4.0
Moscow,9,1,4.0
Moscow,9,2,4.0
Moscow,9,3,4.0
Moscow,9,4,4.0
Moscow,9,5,3.0
Moscow,9,6,3.0
Moscow,10,0,4.0
Moscow,10,1,4.0
Moscow,10,2,4.0
Moscow,10,3,4.0
Moscow,10,4,4.0
Moscow,10,5,3.0
Moscow,10,6,3.0
Moscow,11,0,4.0
Moscow,11,1,4.0
Moscow,11,2,4.0
Moscow,11,3,4.0
Moscow,11,4,4.0
Moscow,11,5,3.0
Moscow,11,6,3.0
Moscow,12,0,4.0
Moscow,12,1,4.0
Moscow,12,2,4.0
Moscow,12,3,4.0
Moscow,12,4,4.0
Moscow,12,5,3.0
Moscow,12,6,3.0
Moscow,13,0,4.0
Moscow,13,1,4.0
Moscow,13,2,4.0
Moscow,13,3,4.0
Moscow,13,4,4.0
Moscow,13,5,3.0
Moscow,13,6,3.0
Moscow,14,0,4.0
Moscow,14,1,4.0
Moscow,14,2,4.0
Moscow,14,3,4.0
Moscow,14,4,4.0
Moscow,14,5,3.0
Moscow,14,6,3.0
Moscow,15,0,4.0
Moscow,15,1,4.0
Moscow,15,2,4.0
Moscow,15,3,4.0
Moscow,15,4,4.0
Moscow,15,5,3.0
Moscow,15,6,3.0
Moscow,16,0,4.0
Moscow,16,1,4.0
Moscow,16,2,4.0
Moscow,16,3,4.0
Moscow,16,4,4.0
Moscow,16,5,3.0
Moscow,16,6,3.0
Moscow,17,0,4.0
Moscow,17,1,4.0
Moscow,17,2,4.0
Moscow,17,3,4.0
Moscow,17,4,4.0
Moscow,17,5,3.0
Moscow,17,6,3.0
Moscow,18,0,4.0
Moscow,18,1,4.0
Moscow,18,2,4.0
Moscow,18,3,4.0
Moscow,18,4,4.0
Moscow,18,5,3.0
Moscow,18,6,3.0
Moscow,19,0,4.0
Moscow,19,1,4.0
Moscow,19,2,4.0
Moscow,19,3,4.0
Moscow,19,4,4.0
Moscow,19,5,3.0
Moscow,19,6,3.0
Moscow,20,0,4.0
Moscow,20,1,4.0
Moscow,20,2,4.0
Moscow,20,3,4.0
Moscow,20,4,4.0
Moscow,20,5,3.0
Moscow,20,6,3.0
Moscow,21,0,4.0
Moscow,21,1,4.0
Moscow,21,2,4.0
Moscow,21,3,4.0
Moscow,21,4,4.0
Moscow,21,5,3.0
Moscow,21,6,3.0
Moscow,22,0,4.0
Moscow,22,1,4.0
Moscow,22,2,4.0
Moscow,22,3,4.0
Moscow,22,4,4.0
Moscow,22,5,3.0
Moscow,22,6,3.0
Moscow,23,0,4.0
Moscow,23,1,4.0
Moscow,23,2,4.0
Moscow,23,3,4.0
Moscow,23,4,4.0
Moscow,23,5,3.0
Moscow,23,6,3.0
SPB,0,0,3.0
SPB,0,1,3.0
SPB,0,2,3.0
SPB,0,3,3.0
SPB,0,4,3.0
SPB,0,5,2.0
SPB,0,6,2.0
SPB,1,0,3.0
SPB,1,1,3.0
SPB,1,2,3.0
SPB,1,3,3.0
SPB,1,4,3.0
SPB,1,5,2.0
SPB,1,6,2.0
SPB,2,0,3.0
SPB,2,1,3.0
SPB,2,2,3.0
SPB,2,3,3.0
SPB,2,4,3.0
SPB,2,5,2.0
SPB,2,6,2.0
SPB,3,0,3.0
SPB,3,1,3.0
SPB,3,2,3.0
SPB,3,3,3.0
SPB,3,4,3.0
SPB,3,5,2.0
SPB,3,6,2.0
SPB,4,0,3.0
SPB,4,1,3.0
SPB,4,2,3.0
SPB,4,3,3.0
SPB,4,4,3.0
SPB,4,5,2.0
SPB,4,6,2.0
SPB,5,0,3.0
SPB,5,1,3.0
SPB,5,2,3.0
SPB,5,3,3.0
SPB,5,4,3.0
SPB,5,5,2.0
SPB,5,6,2.0
SPB,6,0,3.0
SPB,6,1,3.0
SPB,6,2,3.0
SPB,6,3,3.0
SPB,6,4,3.0
SPB,6,5,2.0
SPB,6,6,2.0
SPB,7,0,3.0
SPB,7,1,3.0
SPB,7,2,3.0
SPB,7,3,3.0
SPB,7,4,3.0
SPB,7,5,2.0
SPB,7,6,2.0
SPB,8,0,3.0
SPB,8,1,3.0
SPB,8,2,3.0
SPB,8,3,3.0
SPB,8,4,3.0
SPB,8,5,2.0
SPB,8,6,2.0
SPB,9,0,3.0
SPB,9,1,3.0
SPB,9,2,3.0
SPB,9,3,3.0
SPB,9,4,3.0
SPB,9,5,2.0
SPB,9,6,2.0
SPB,10,0,3.0
SPB,10,1,3.0
SPB,10,2,3.0
SPB,10,3,3.0
SPB,10,4,3.0
SPB,10,5,2.0
SPB,10,6,2.0
SPB,11,0,3.0
SPB,11,1,3.0
SPB,11,2,3.0
SPB,11,3,3.0
SPB,11,4,3.0
SPB,11,5,2.0
SPB,11,6,2.0
SPB,12,0,3.0
SPB,12,1,3.0
SPB,12,2,3.0
SPB,12,3,3.0
SPB,12,4,3.0
SPB,12,5,2.0
SPB,12,6,2.0
SPB,13,0,3.0
SPB,13,1,3.0
SPB,13,2,3.0
SPB,13,3,3.0
SPB,13,4,3.0
SPB,13,5,2.0
SPB,13,6,2.0
SPB,14,0,3.0
SPB,14,1,3.0
SPB,14,2,3.0
SPB,14,3,3.0
SPB,14,4,3.0
SPB,14,5,2.0
SPB,14,6,2.0
SPB,15,0,3.0
SPB,15,1,3.0
SPB,15,2,3.0
SPB,15,3,3.0
SPB,15,4,3.0
SPB,15,5,2.0
SPB,15,6,2.0
SPB,16,0,3.0
SPB,16,1,3.0
SPB,16,2,3.0
SPB,16,3,3.0
SPB,16,4,3.0
SPB,16,5,2.0
SPB,16,6,2.0
SPB,17,0,3.0
SPB,17,1,3.0
SPB,17,2,3.0
SPB,17,3,3.0
SPB,17,4,3.0
SPB,17,5,2.0
SPB,17,6,2.0
SPB,18,0,3.0
SPB,18,1,3.0
SPB,18,2,3.0
SPB,18,3,3.0
SPB,18,4,3.0
SPB,18,5,2.0
SPB,18,6,2.0
SPB,19,0,3.0
SPB,19,1,3.0
SPB,19,2,3.0
SPB,19,3,3.0
SPB,19,4,3.0
SPB,19,5,2.0
SPB,19,6,2.0
SPB,20,0,3.0
SPB,20,1,3.0
SPB,20,2,3.0
SPB,20,3,3.0
SPB,20,4,3.0
SPB,20,5,2.0
SPB,20,6,2.0
SPB,21,0,3.0
SPB,21,1,3.0
SPB,21,2,3.0
SPB,21,3,3.0
SPB,21,4,3.0
SPB,21,5,2.0
SPB,21,6,2.0
SPB,22,0,3.0
SPB,22,1,3.0
SPB,22,2,3.0
SPB,22,3,3.0
SPB,22,4,3.0
SPB,22,5,2.0
SPB,22,6,2.0
SPB,23,0,3.0
SPB,23,1,3.0
SPB,23,2,3.0
SPB,23,3,3.0
SPB,23,4,3.0
SPB,23,5,2.0
SPB,23,6,2.0
