order_id,order_datetime,items_count,distance_km,is_express_delivery,vehicle_type,base_speed_kmh,restaurant_city,is_fast_food,prep_time_avg,temperature,precip_mm,wind_speed,traffic_level
98040,2025-01-23 05:27:00,8,1.21,0,scooter,55.0,Moscow,1,7,6.7,7.8,7.9,4.0
98041,2025-01-17 11:07:00,3,3.02,0,car,55.0,Kazan,1,13,-2.5,3.71,2.6,2.0
98042,2024-12-26 03:35:00,5,2.1,0,scooter,55.0,Moscow,1,14,-10.4,2.63,23.6,5.0
98043,2024-03-14 00:16:00,2,2.99,0,car,55.0,SPB,1,12,20.3,2.15,13.1,3.0
98044,2024-05-17 17:26:00,2,5.48,1,car,55.0,Moscow,1,6,29.4,3.17,0.0,4.0
98045,2024-11-12 11:47:00,5,1.13,0,car,55.0,Moscow,0,32,-11.1,13.58,9.5,4.0
98046,2024-08-13 02:33:00,4,2.48,0,bike,38.56610576982384,Kazan,1,12,-10.4,1.81,15.8,2.0
98047,2024-08-26 19:40:00,3,0.49,0,car,55.0,Moscow,1,5,-16.1,2.74,19.3,5.0
98048,2025-06-01 17:31:00,3,6.1,0,scooter,44.02191382946829,Kazan,0,22,23.3,4.35,1.7,1.0
98049,2024-07-15 15:37:00,2,4.37,0,scooter,43.16043291364058,Moscow,0,30,12.8,,3.1,4.0
98050,2024-04-30 19:24:00,4,1.02,0,car,55.0,Moscow,0,17,27.8,1.31,1.9,4.0
98051,2024-02-20 16:41:00,2,1.73,1,car,55.0,Moscow,0,17,21.6,0.19,16.3,4.0
98052,2025-05-29 13:31:00,6,2.51,0,scooter,48.67284070467812,Kazan,0,39,20.7,1.93,5.0,3.0
98053,2025-02-28 00:25:00,5,3.44,0,car,55.0,Moscow,1,10,28.4,0.34,1.8,4.0
98054,2024-09-28 11:19:00,2,1.24,0,car,55.0,Kazan,0,24,-23.9,3.99,3.8,1.0
98055,2024-12-07 16:32:00,5,5.47,0,car,55.0,Kazan,1,5,-17.2,4.57,15.3,1.0
98056,2024-10-24 14:57:00,3,1.16,0,car,55.0,SPB,0,17,-24.0,1.12,0.0,4.0
98057,2025-03-13 03:51:00,1,5.5,0,bike,41.97329297929299,Moscow,1,6,31.1,1.63,7.1,4.0
98058,2024-03-26 21:02:00,3,2.83,0,bike,33.0915722275002,Moscow,0,28,27.1,2.66,1.4,5.0
98059,2024-06-14 21:37:00,7,1.75,0,car,55.0,Moscow,0,38,11.3,2.24,3.0,4.0
98060,2025-05-03 23:32:00,4,3.35,0,car,55.0,SPB,0,36,22.6,6.98,0.7,2.0
98061,2024-11-06 23:13:00,7,7.78,0,car,55.0,Moscow,0,21,-12.5,0.12,10.3,4.0
98062,2024-12-26 11:11:00,2,11.49,0,bike,35.086380143438284,SPB,1,10,0.3,5.56,15.5,4.0
98063,2024-11-02 16:30:00,2,0.58,0,car,55.0,Moscow,1,9,-23.8,3.36,13.1,4.0
98064,2025-01-31 10:32:00,2,5.75,0,bike,41.219692330682875,Kazan,1,5,-0.4,4.69,9.5,2.0
98065,2024-04-03 13:25:00,5,2.64,0,car,55.0,Moscow,1,10,28.9,4.66,16.3,4.0
98066,2024-10-04 13:10:00,2,1.7,0,car,55.0,Moscow,1,11,-15.7,4.9,2.9,4.0
98067,2024-03-13 20:15:00,3,0.69,0,car,55.0,SPB,0,37,26.3,1.04,9.8,4.0
98068,2024-01-31 04:59:00,1,2.81,0,car,55.0,Moscow,1,11,9.3,20.23,12.2,5.0
98069,2025-03-24 18:13:00,3,13.56,0,car,48.016477908776224,Moscow,0,35,23.9,3.43,5.8,5.0
98070,2024-10-28 17:20:00,2,2.93,0,bike,37.45176782140707,Kazan,0,18,-18.4,3.64,1.9,2.0
98071,2025-06-24 03:10:00,3,2.48,0,bike,40.804334648574,SPB,1,10,8.7,3.38,17.8,3.0
98072,2024-06-01 19:11:00,1,2.9,0,car,55.0,Kazan,0,33,19.3,,3.8,2.0
98073,2024-01-07 22:00:00,3,7.86,0,car,55.0,Kazan,1,8,-0.6,2.25,14.0,1.0
98074,2024-10-11 06:54:00,1,6.02,0,car,55.0,Moscow,1,5,-23.9,0.65,16.4,4.0
98075,2024-05-09 01:02:00,3,4.97,0,car,55.0,Kazan,1,12,22.5,3.17,4.7,2.0
98076,2025-03-16 12:12:00,2,1.54,0,car,55.0,Moscow,1,10,24.1,3.52,18.2,3.0
98077,2025-04-23 16:45:00,3,3.88,0,car,55.0,SPB,0,24,16.9,0.22,7.9,4.0
98078,2025-04-20 04:41:00,2,2.77,0,scooter,41.41642418784267,SPB,1,9,28.9,4.45,7.3,2.0
98079,2025-03-24 18:38:00,5,2.72,0,scooter,54.20006938556093,Moscow,0,28,23.9,3.43,5.8,5.0
98080,2025-06-28 05:49:00,7,0.56,0,scooter,53.6365997086488,SPB,1,7,13.7,2.58,15.2,3.0
98081,2024-10-25 23:29:00,2,1.13,0,scooter,45.651242794209146,Moscow,0,17,-15.2,0.31,0.6,4.0
98082,2025-06-20 10:27:00,4,5.95,0,car,55.0,Moscow,0,16,17.9,1.58,0.7,5.0
98083,2025-06-08 13:27:00,5,5.82,0,car,55.0,Moscow,1,8,28.1,1.93,13.4,4.0
98084,2025-06-07 04:49:00,4,3.55,1,scooter,39.047551890965785,SPB,0,23,11.0,,5.2,2.0
98085,2025-04-19 18:40:00,5,6.79,0,scooter,55.0,Moscow,1,13,34.5,2.27,12.8,3.0
98086,2024-05-11 17:40:00,1,2.7,0,car,55.0,Kazan,1,11,26.1,5.39,11.2,1.0
98087,2025-04-14 15:01:00,5,3.46,0,car,55.0,SPB,1,12,24.6,6.45,10.1,3.0
98088,2024-11-28 11:44:00,3,2.77,0,scooter,55.0,SPB,0,22,,1.59,2.6,3.0
98089,2025-02-17 15:13:00,1,2.43,0,car,55.0,Moscow,1,9,21.0,1.94,22.7,4.0
98090,2024-08-24 22:47:00,8,0.42,0,car,55.0,SPB,1,9,-12.7,2.98,9.6,2.0
98091,2024-08-02 16:03:00,1,4.15,0,car,55.0,SPB,1,13,-9.9,14.15,4.9,3.0
98092,2025-03-10 04:47:00,2,1.03,0,bike,37.26218109219517,Moscow,0,31,21.3,1.23,9.1,4.0
98093,2024-10-10 19:05:00,1,2.53,0,bike,33.782298784964645,Moscow,1,12,-21.9,0.04,15.2,5.0
98094,2025-01-31 12:23:00,2,7.01,0,bike,33.782298784964645,Kazan,1,8,-0.4,4.69,9.5,2.0
98095,2025-01-09 04:58:00,5,4.78,0,scooter,45.651242794209146,SPB,0,20,3.2,1.34,16.8,3.0
98096,2024-01-17 04:13:00,3,10.11,0,bike,42.25170720017491,Moscow,1,13,2.8,4.21,15.7,4.0
98097,2024-06-12 14:45:00,2,3.71,0,car,55.0,SPB,0,15,18.4,7.04,9.7,3.0
98098,2024-05-18 07:19:00,3,11.93,0,car,55.0,SPB,1,7,22.6,7.93,8.2,2.0
98099,2025-03-06 03:42:00,8,3.66,0,car,51.43065228264467,Moscow,1,11,24.6,1.39,12.9,4.0
98100,2025-05-02 08:49:00,3,5.46,1,car,55.0,Kazan,1,13,28.1,2.73,12.9,2.0
98101,2024-05-08 07:35:00,6,5.07,0,scooter,49.49166115263669,Moscow,1,13,32.3,1.01,6.2,4.0
98102,2025-02-04 01:12:00,2,1.17,0,bike,33.93675198010838,SPB,0,23,8.2,9.63,17.6,4.0
98103,2024-04-23 10:14:00,2,0.77,0,scooter,55.0,Moscow,1,9,35.7,5.92,10.5,5.0
98104,2024-06-24 15:18:00,5,9.15,0,bike,40.807844015374776,Moscow,1,11,16.3,0.1,9.6,5.0
98105,2024-10-24 08:49:00,4,5.97,0,car,55.0,Moscow,1,8,-17.5,9.14,17.4,5.0
98106,2025-02-04 10:33:00,3,12.32,0,car,55.0,Moscow,0,25,16.0,3.47,17.3,4.0
98107,2024-04-04 15:45:00,4,2.81,0,bike,39.430915777080756,SPB,1,12,22.5,8.8,0.6,3.0
98108,2025-02-07 06:42:00,4,4.35,0,car,48.016477908776224,Kazan,0,31,10.6,6.93,4.5,3.0
98109,2024-12-06 06:44:00,1,1.38,0,car,55.0,Kazan,0,34,-7.1,6.03,1.8,2.0
98110,2024-10-09 13:48:00,3,4.75,0,car,55.0,Moscow,1,12,-10.4,9.71,7.0,5.0
98111,2025-06-01 14:29:00,1,0.65,0,scooter,55.0,SPB,0,31,24.0,9.84,17.0,2.0
98112,2025-06-09 07:55:00,2,8.27,0,bike,36.24682112531779,Moscow,1,12,18.0,1.3,13.1,5.0
98113,2024-10-05 18:23:00,3,0.73,0,bike,38.07269195618679,Moscow,0,25,-15.3,0.44,0.2,4.0
98114,2024-02-17 06:07:00,5,5.94,0,scooter,50.84117784067927,Moscow,0,34,26.6,6.84,13.7,3.0
98115,2024-06-15 06:58:00,4,4.65,0,car,55.0,SPB,0,20,20.6,0.34,9.9,2.0
98116,2024-01-12 20:26:00,4,3.5,0,car,55.0,Moscow,0,21,1.2,0.37,4.2,5.0
98117,2024-02-01 15:51:00,3,0.49,0,car,55.0,SPB,0,16,14.2,3.04,18.9,3.0
98118,2025-04-26 01:39:00,3,3.17,0,car,55.0,Kazan,1,8,19.7,0.09,0.7,1.0
98119,2025-02-16 03:06:00,6,3.86,0,car,55.0,Moscow,1,11,15.1,3.53,6.9,3.0
98120,2024-09-09 02:11:00,3,4.17,0,bike,30.997625676503116,SPB,0,21,-16.6,4.42,18.9,3.0
98121,2024-10-30 04:05:00,1,5.17,0,scooter,53.6365997086488,Kazan,0,29,-23.4,2.49,0.2,2.0
98122,2024-08-04 10:24:00,2,2.03,0,car,55.0,Moscow,1,9,-3.5,1.3,13.0,4.0
98123,2025-01-19 16:37:00,3,5.46,0,scooter,41.41642418784267,Kazan,0,20,7.3,2.96,20.0,1.0
98124,2024-01-13 17:48:00,2,1.29,0,car,55.0,Moscow,1,11,4.3,2.78,15.9,4.0
98125,2024-06-08 22:11:00,2,1.32,0,bike,35.96575629651888,Moscow,1,10,17.4,19.25,8.4,4.0
98126,2024-04-04 12:42:00,1,1.25,0,car,55.0,Moscow,1,8,25.9,10.79,3.1,4.0
98127,2024-03-12 13:46:00,6,1.34,0,bike,40.75594245927035,Moscow,0,29,30.4,1.5,5.8,4.0
98128,2024-03-21 20:21:00,6,3.0,0,car,55.0,Moscow,1,6,28.5,0.14,13.0,4.0
98129,2025-03-27 09:37:00,4,2.05,0,car,55.0,Moscow,0,18,25.5,3.79,18.4,4.0
98130,2024-11-12 17:51:00,2,4.52,0,car,55.0,Kazan,0,25,-23.1,3.4,7.8,2.0
98131,2024-02-06 13:26:00,2,4.83,0,car,55.0,Moscow,0,26,13.9,3.52,21.1,4.0
98132,2025-01-01 07:58:00,2,9.12,0,car,55.0,Moscow,0,18,-4.6,10.43,1.0,4.0
98133,2024-08-24 01:00:00,3,4.01,0,bike,40.61012440281896,Kazan,0,32,-9.1,1.04,16.5,1.0
98134,2024-07-23 19:07:00,4,3.0,0,bike,36.88875564924949,Moscow,0,31,6.9,8.45,0.4,4.0
98135,2024-08-19 03:21:00,2,2.29,0,bike,36.862403291529105,Kazan,0,31,-12.1,1.79,19.8,2.0
98136,2025-02-18 07:39:00,1,0.91,0,car,55.0,SPB,0,16,21.2,8.61,1.1,3.0
98137,2024-04-18 15:47:00,3,2.0,0,scooter,39.091298449230436,Kazan,1,8,27.1,4.59,12.4,2.0
98138,2025-05-18 08:37:00,4,3.81,0,car,55.0,Moscow,0,38,25.1,0.34,13.1,3.0
98139,2024-01-08 06:51:00,2,1.73,0,bike,43.31751317140163,Kazan,1,12,-0.4,1.22,16.5,2.0
98140,2024-04-27 12:20:00,3,9.34,0,bike,30.997625676503116,Moscow,0,27,25.7,7.54,1.8,3.0
98141,2024-10-11 22:02:00,3,2.89,0,car,55.0,SPB,0,21,-19.7,8.04,4.4,3.0
98142,2024-02-06 04:25:00,1,3.44,0,bike,40.879308302895126,SPB,0,25,13.0,4.19,21.5,3.0
98143,2024-09-28 21:04:00,4,1.31,0,scooter,54.20006938556093,Moscow,0,38,-23.2,0.12,11.5,3.0
98144,2024-01-10 07:03:00,3,6.01,0,bike,34.88035136798393,SPB,0,20,-2.2,8.37,8.2,4.0
98145,2025-05-27 22:04:00,3,3.97,0,bike,30.58051523310684,SPB,1,11,22.3,2.32,8.5,3.0
98146,2025-06-29 06:54:00,4,8.36,0,bike,40.32854369446495,Kazan,0,34,16.8,0.57,5.4,1.0
98147,2025-01-31 22:15:00,2,6.33,0,bike,33.93675198010838,Moscow,1,12,11.9,1.45,17.2,4.0
98148,2025-06-20 13:27:00,3,1.14,0,car,55.0,Moscow,0,19,17.9,1.58,0.7,5.0
98149,2025-02-01 08:52:00,2,1.33,0,car,55.0,Moscow,0,36,13.8,13.08,1.5,3.0
98150,2024-01-22 01:37:00,2,5.71,0,car,55.0,Moscow,0,34,-0.5,3.96,16.3,5.0
98151,2024-05-06 07:35:00,2,3.09,0,car,55.0,SPB,1,7,28.2,0.25,4.1,3.0
98152,2024-09-20 06:48:00,2,1.67,0,bike,35.577876365522755,Moscow,0,30,-21.6,0.6,7.3,4.0
98153,2024-06-14 21:46:00,3,1.22,0,bike,38.62838052170366,SPB,1,5,9.9,4.58,7.5,4.0
98154,2024-10-17 11:57:00,5,6.86,0,car,55.0,SPB,0,31,-17.7,7.89,12.3,3.0
98155,2025-05-01 04:18:00,3,3.93,0,scooter,44.79372201513367,Kazan,0,34,25.8,16.34,19.8,3.0
98156,2024-01-22 02:43:00,3,6.22,1,car,55.0,SPB,1,13,2.0,7.16,2.3,4.0
98157,2024-12-18 19:19:00,2,2.43,0,bike,35.716101269659816,SPB,0,36,-6.5,15.15,6.7,3.0
98158,2025-06-16 22:03:00,5,2.28,1,car,55.0,SPB,1,9,13.8,0.71,18.0,3.0
98159,2025-02-23 09:01:00,5,9.34,1,car,55.0,Kazan,1,14,23.6,6.09,15.4,2.0
98160,2025-01-13 03:55:00,1,3.67,0,scooter,48.67284070467812,SPB,0,31,1.7,16.88,6.5,3.0
98161,2024-06-14 01:30:00,2,2.19,0,scooter,53.88993581645081,Kazan,1,5,9.0,0.1,13.0,2.0
98162,2024-07-01 14:51:00,1,2.94,0,scooter,50.502841360509194,SPB,0,21,7.4,6.25,11.7,3.0
98163,2024-05-30 10:12:00,1,2.82,0,bike,41.219692330682875,Kazan,1,11,12.4,5.15,20.0,2.0
98164,2024-05-16 09:54:00,3,6.95,0,bike,37.26218109219517,SPB,0,22,25.0,,13.5,3.0
98165,2024-08-03 19:30:00,2,3.35,0,car,55.0,Moscow,0,19,-7.5,8.31,19.6,3.0
98166,2025-01-28 22:10:00,3,3.21,1,scooter,55.0,Moscow,1,5,11.0,10.67,14.9,4.0
98167,2025-06-11 06:11:00,2,2.44,1,car,55.0,Kazan,1,5,15.5,1.86,7.7,3.0
98168,2025-04-13 15:08:00,1,0.73,0,car,55.0,Moscow,1,7,29.9,3.33,9.0,3.0
98169,2024-07-19 12:01:00,2,2.51,0,car,55.0,Moscow,0,30,-3.9,9.73,9.3,
98170,2024-11-12 12:16:00,2,5.74,0,scooter,44.150599250049076,Moscow,1,12,-11.1,13.58,9.5,4.0
98171,2024-07-11 12:44:00,4,2.26,0,car,55.0,Moscow,0,18,0.4,14.06,6.5,4.0
98172,2025-06-08 07:45:00,4,2.16,0,scooter,50.22988603518088,Moscow,0,16,28.1,1.93,13.4,4.0
98173,2024-11-22 02:09:00,4,1.64,0,car,55.0,Moscow,0,36,-6.7,1.37,7.5,4.0
98174,2025-04-04 00:22:00,3,18.94,0,car,55.0,Kazan,0,18,19.4,3.12,13.9,2.0
98175,2024-12-15 21:30:00,2,4.29,0,scooter,46.760053354253095,Kazan,0,32,-4.6,12.43,18.8,1.0
98176,2025-02-05 21:53:00,1,4.02,0,car,55.0,Moscow,1,12,12.4,20.28,7.0,4.0
98177,2024-10-12 00:53:00,3,2.15,0,car,55.0,SPB,1,5,-22.2,2.7,12.9,2.0
98178,2024-11-12 09:12:00,2,3.94,0,scooter,39.047551890965785,Kazan,1,12,-23.1,3.4,7.8,2.0
98179,2024-08-30 13:04:00,3,8.24,0,bike,37.21804023678132,SPB,0,20,-8.5,10.65,0.0,4.0
98180,2024-06-07 22:18:00,3,2.81,0,car,55.0,Moscow,0,35,25.9,6.83,5.3,5.0
98181,2025-04-13 04:58:00,3,3.18,1,car,55.0,Moscow,0,34,29.9,3.33,9.0,3.0
98182,2024-10-12 13:28:00,2,0.32,0,car,55.0,Kazan,0,37,-24.2,4.13,7.4,2.0
98183,2025-03-31 22:10:00,2,5.63,0,scooter,46.0651894724839,Moscow,1,13,33.0,2.85,9.1,4.0
98184,2025-05-10 22:49:00,3,3.83,0,car,55.0,Kazan,0,24,26.7,2.96,6.7,1.0
98185,2025-04-28 07:34:00,1,0.36,0,car,55.0,SPB,1,14,31.6,3.03,15.0,3.0
98186,2024-03-05 09:10:00,3,1.91,0,car,55.0,Moscow,0,37,22.0,4.97,11.1,5.0
98187,2025-03-31 11:04:00,2,4.63,0,car,55.0,SPB,0,23,31.5,1.63,0.2,3.0
98188,2024-07-18 09:40:00,4,6.72,0,bike,37.632500976867355,Moscow,0,39,5.5,,15.9,5.0
98189,2025-06-13 12:03:00,4,1.58,0,bike,41.219692330682875,Moscow,0,28,10.3,9.93,12.7,5.0
98190,2024-07-31 20:28:00,2,6.35,0,car,55.0,SPB,0,28,-4.2,7.31,14.6,3.0
98191,2025-02-10 08:40:00,3,0.33,0,car,55.0,Moscow,0,39,18.7,2.66,21.3,4.0
98192,2024-07-09 20:49:00,2,1.94,0,scooter,50.19968924951003,SPB,0,17,9.9,9.58,5.4,4.0
98193,2025-04-15 20:05:00,4,9.99,0,scooter,43.02736698811714,Kazan,1,8,29.0,1.35,8.5,3.0
98194,2024-06-13 13:39:00,2,5.99,0,bike,36.82146628990283,Kazan,0,20,15.6,0.33,9.8,2.0
98195,2024-05-11 12:05:00,2,2.91,0,car,55.0,Kazan,0,29,26.1,5.39,11.2,1.0
98196,2024-03-14 13:41:00,5,1.15,0,car,55.0,Moscow,0,27,19.7,0.82,4.0,5.0
98197,2025-05-03 03:17:00,2,3.3,0,bike,40.142580832377945,Moscow,0,38,32.1,3.71,17.3,3.0
98198,2024-07-18 04:27:00,1,1.39,1,car,55.0,Moscow,1,11,5.5,,15.9,5.0
98199,2024-08-10 03:50:00,3,0.81,0,scooter,46.760053354253095,Moscow,1,13,1.2,2.38,19.1,4.0
98200,2025-05-27 11:01:00,4,9.81,0,scooter,46.0651894724839,Moscow,0,27,29.9,2.03,1.2,5.0
98201,2024-04-26 22:15:00,1,1.22,0,car,55.0,Kazan,0,18,27.0,5.28,10.8,2.0
98202,2025-04-26 15:36:00,4,1.43,0,car,55.0,Moscow,1,8,23.3,1.08,0.7,3.0
98203,2024-11-05 20:37:00,5,2.5,0,scooter,46.44984473997541,Moscow,1,11,-14.2,0.06,2.3,5.0
98204,2025-01-13 05:56:00,4,3.97,0,car,55.0,SPB,1,5,1.7,16.88,6.5,3.0
98205,2024-02-08 11:41:00,2,0.86,0,car,55.0,Kazan,1,12,11.4,1.05,8.3,2.0
98206,2024-10-15 12:37:00,6,2.59,0,car,55.0,SPB,0,36,-14.8,9.4,7.8,3.0
98207,2024-01-17 08:36:00,4,0.94,0,car,55.0,SPB,0,31,-4.4,2.66,8.8,3.0
98208,2024-01-16 09:21:00,4,1.25,0,car,55.0,SPB,1,10,5.7,2.37,0.4,3.0
98209,2024-12-02 11:06:00,1,6.71,0,car,55.0,SPB,0,25,-9.0,0.18,9.5,3.0
98210,2025-02-02 00:59:00,1,4.23,0,bike,38.301186923671516,SPB,0,16,2.4,,17.7,2.0
98211,2025-03-18 04:03:00,2,0.84,0,bike,35.23265629823605,SPB,0,21,21.2,4.31,11.7,3.0
98212,2024-12-28 23:06:00,2,2.85,1,scooter,45.13982204557147,Moscow,1,7,2.9,2.83,4.0,3.0
98213,2025-04-11 17:07:00,2,5.56,0,car,55.0,SPB,0,22,26.3,13.69,14.2,3.0
98214,2024-07-03 19:37:00,3,2.87,0,car,55.0,Moscow,1,12,3.0,5.22,14.2,4.0
98215,2024-09-28 06:22:00,4,3.3,1,car,55.0,Kazan,1,12,-23.9,3.99,3.8,1.0
98216,2024-12-20 04:48:00,4,6.81,0,car,55.0,SPB,0,20,-1.2,0.92,11.3,4.0
98217,2024-09-27 04:28:00,8,4.1,0,car,55.0,Moscow,0,38,-22.4,1.37,6.9,4.0
98218,2024-12-17 11:48:00,4,1.73,1,bike,36.24682112531779,SPB,0,37,-6.3,6.58,17.3,3.0
98219,2025-01-25 23:01:00,1,0.26,0,car,55.0,SPB,0,23,10.3,2.32,1.4,3.0
98220,2024-10-25 19:31:00,3,1.56,0,bike,31.260861704088715,Moscow,1,9,-15.2,0.31,0.6,4.0
98221,2024-07-12 17:24:00,3,1.85,0,car,55.0,Kazan,0,29,3.7,0.19,4.4,3.0
98222,2025-01-11 04:40:00,4,6.39,0,car,55.0,Moscow,1,7,-4.1,3.57,3.9,4.0
98223,2024-07-22 11:21:00,3,4.36,0,scooter,45.651242794209146,Kazan,0,24,-2.6,1.19,13.2,2.0
98224,2025-02-28 19:43:00,3,1.52,0,car,55.0,Moscow,0,27,28.4,0.34,1.8,4.0
98225,2024-09-24 00:20:00,3,2.0,1,bike,42.8376824131858,Moscow,0,16,-17.1,1.06,18.7,4.0
98226,2024-01-19 12:28:00,2,1.96,0,car,55.0,Kazan,1,7,-1.9,2.95,21.6,2.0
98227,2024-01-11 12:16:00,5,2.48,0,car,55.0,Moscow,0,16,6.2,1.27,1.0,4.0
98228,2024-10-10 06:49:00,4,3.85,0,car,55.0,SPB,0,20,-17.0,0.98,1.4,3.0
98229,2024-11-19 00:33:00,4,4.66,0,bike,30.567021598673445,SPB,1,5,-19.2,1.24,14.3,4.0
98230,2024-09-16 16:51:00,3,2.93,0,bike,43.09047812324671,SPB,0,15,-18.7,4.42,9.0,3.0
98231,2024-03-01 00:07:00,2,3.26,0,car,55.0,Moscow,0,34,24.7,0.0,2.9,4.0
98232,2024-01-13 07:20:00,4,2.38,0,car,55.0,Moscow,1,11,4.3,2.78,15.9,4.0
98233,2024-04-08 02:09:00,3,1.22,0,scooter,48.78408734662869,Moscow,0,27,27.9,4.96,15.3,4.0
98234,2024-11-17 22:45:00,3,5.9,0,car,55.0,Moscow,1,9,-19.1,34.3,21.1,3.0
98235,2025-05-24 22:32:00,5,3.47,0,car,55.0,Moscow,1,11,24.3,6.26,7.9,3.0
98236,2024-03-29 15:32:00,2,5.94,0,car,55.0,SPB,0,28,33.8,3.41,12.5,3.0
98237,2024-08-24 06:57:00,3,5.08,0,car,55.0,Moscow,0,16,-11.5,4.57,14.6,4.0
98238,2024-06-10 15:40:00,3,6.19,0,car,55.0,Moscow,1,12,20.0,2.04,9.3,4.0
98239,2024-02-09 10:31:00,3,6.12,0,car,55.0,Moscow,1,9,21.2,1.88,20.0,4.0
98240,2025-06-22 03:20:00,3,5.63,0,bike,43.31751317140163,Moscow,1,13,15.7,11.71,18.1,4.0
98241,2024-11-25 11:23:00,6,2.18,0,bike,40.89902689179051,Moscow,1,12,-12.3,6.94,13.4,4.0
98242,2024-09-22 07:02:00,3,3.67,1,bike,37.32002871481163,Moscow,1,9,-23.0,0.04,17.2,3.0
98243,2024-10-02 20:22:00,3,4.1,0,car,55.0,Kazan,1,5,-23.4,0.62,13.3,2.0
98244,2024-10-14 23:28:00,1,1.58,0,bike,33.19299505524494,SPB,0,16,-23.5,0.23,6.3,4.0
98245,2024-12-26 14:01:00,3,6.01,0,scooter,53.90710727799128,Moscow,0,30,-10.4,2.63,23.6,5.0
98246,2024-12-21 18:12:00,2,2.28,0,car,55.0,Moscow,0,27,-1.8,2.61,22.6,3.0
98247,2024-05-19 05:28:00,2,3.9,0,car,55.0,SPB,0,39,27.2,7.89,12.0,2.0
98248,2024-02-27 01:16:00,8,1.27,0,car,55.0,Moscow,1,9,20.5,3.54,11.4,4.0
98249,2024-09-14 17:24:00,2,4.06,0,scooter,54.69739406908258,Moscow,0,21,-22.5,0.62,18.8,4.0
98250,2025-03-12 20:21:00,1,5.93,0,car,55.0,SPB,0,16,18.6,2.19,9.0,4.0
98251,2025-06-13 05:57:00,3,4.18,0,car,55.0,Moscow,0,19,10.3,9.93,12.7,5.0
98252,2024-06-29 22:24:00,3,1.74,0,scooter,45.651242794209146,Moscow,0,34,9.2,0.67,15.3,4.0
98253,2024-10-26 11:23:00,1,1.37,0,car,55.0,Moscow,1,6,-16.2,9.23,0.1,3.0
98254,2024-03-15 19:47:00,4,0.54,0,car,55.0,Moscow,1,12,23.4,6.98,15.5,5.0
98255,2024-12-07 15:07:00,3,5.22,0,car,55.0,Kazan,0,34,-17.2,4.57,15.3,1.0
